date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:39	2353/2353	---MC-	200	added ('OK')	text/xml	date:Mon,%2004%20Nov%202019%2016:56:28%20GMT	https://demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo.kaliumtheme.com%2Fshop%2Fshop-carousel%2F&format=xml	demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed13cd	(from https://demo.kaliumtheme.com/shop/shop-carousel/)
17:57:40	79299/79299	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:30%20GMT	https://demo.kaliumtheme.com/shop/shop/?shop-catalog-layout=full-bg	demo.kaliumtheme.com/shop/shop/index8fc9.html	(from https://demo.kaliumtheme.com/shop/)
17:57:40	75955/75955	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:30%20GMT	https://demo.kaliumtheme.com/shop/shop/?shop-catalog-layout=distanced-centered	demo.kaliumtheme.com/shop/shop/index54d8.html	(from https://demo.kaliumtheme.com/shop/)
17:57:40	79369/79369	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:30%20GMT	https://demo.kaliumtheme.com/shop/shop/?shop-catalog-layout=transparent-bg	demo.kaliumtheme.com/shop/shop/index39cc.html	(from https://demo.kaliumtheme.com/shop/)
17:57:41	90066/90066	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:31%20GMT	https://demo.kaliumtheme.com/shop/product/hasami-mug/	demo.kaliumtheme.com/shop/product/hasami-mug/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:41	127133/127133	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:32%20GMT	https://demo.kaliumtheme.com/shop/product/oak-tray/	demo.kaliumtheme.com/shop/product/oak-tray/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:42	103827/103827	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:32%20GMT	https://demo.kaliumtheme.com/shop/product/cast-iron-animals/	demo.kaliumtheme.com/shop/product/cast-iron-animals/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:42	83437/83437	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:32%20GMT	https://demo.kaliumtheme.com/shop/product/charley-colors/	demo.kaliumtheme.com/shop/product/charley-colors/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:43	81224/81224	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:33%20GMT	https://demo.kaliumtheme.com/shop/product/bridge-backpack/?shop-single-image-layout=plain	demo.kaliumtheme.com/shop/product/bridge-backpack/indexe0e1.html	(from https://demo.kaliumtheme.com/shop/)
17:57:43	87130/87130	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:33%20GMT	https://demo.kaliumtheme.com/shop/product/bridge-backpack/?shop-single-image-layout=default	demo.kaliumtheme.com/shop/product/bridge-backpack/indexb29f.html	(from https://demo.kaliumtheme.com/shop/)
17:57:44	81245/81245	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:34%20GMT	https://demo.kaliumtheme.com/shop/product/bridge-backpack/?shop-single-image-layout=plain-sticky	demo.kaliumtheme.com/shop/product/bridge-backpack/index48a6.html	(from https://demo.kaliumtheme.com/shop/)
17:57:44	100229/100229	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:34%20GMT	https://demo.kaliumtheme.com/shop/product/boskke-cube/?shop-single-image-align=left	demo.kaliumtheme.com/shop/product/boskke-cube/index123f.html	(from https://demo.kaliumtheme.com/shop/)
17:57:45	90578/90578	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:35%20GMT	https://demo.kaliumtheme.com/shop/product/hasami-mug/?shop-single-image-size=small	demo.kaliumtheme.com/shop/product/hasami-mug/indexddbb.html	(from https://demo.kaliumtheme.com/shop/)
17:57:45	100278/100278	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:35%20GMT	https://demo.kaliumtheme.com/shop/product/boskke-cube/?shop-single-image-align=right	demo.kaliumtheme.com/shop/product/boskke-cube/index85ea.html	(from https://demo.kaliumtheme.com/shop/)
17:57:46	2245/2245	---MC-	200	added ('OK')	application/json	date:Mon,%2004%20Nov%202019%2016:56:36%20GMT	https://demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo.kaliumtheme.com%2Fshop%2Fcategories%2F	demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed9991.json	(from https://demo.kaliumtheme.com/shop/categories/)
17:57:46	90358/90358	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:37%20GMT	https://demo.kaliumtheme.com/shop/product/hasami-mug/?shop-single-image-size=xlarge	demo.kaliumtheme.com/shop/product/hasami-mug/indexd819.html	(from https://demo.kaliumtheme.com/shop/)
17:57:46	89965/89965	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:36%20GMT	https://demo.kaliumtheme.com/shop/product/hasami-mug/?shop-single-image-size=medium	demo.kaliumtheme.com/shop/product/hasami-mug/indexc4af.html	(from https://demo.kaliumtheme.com/shop/)
17:57:46	90054/90054	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:36%20GMT	https://demo.kaliumtheme.com/shop/product/hasami-mug/?shop-single-image-size=large	demo.kaliumtheme.com/shop/product/hasami-mug/index4097.html	(from https://demo.kaliumtheme.com/shop/)
17:57:48	2338/2338	---MC-	200	added ('OK')	text/xml	date:Mon,%2004%20Nov%202019%2016:56:37%20GMT	https://demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo.kaliumtheme.com%2Fshop%2Fcategories%2F&format=xml	demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed5af2	(from https://demo.kaliumtheme.com/shop/categories/)
